id,em_baseline,em_improved
20,FALSE,FALSE
22,TRUE,fuzzy
25,FALSE,fuzzy
26,FALSE,FALSE
27,FALSE,FALSE
28,TRUE,TRUE
36,TRUE,TRUE
37,TRUE,TRUE
38,TRUE,TRUE
39,FALSE,FALSE
45,TRUE,TRUE
53,TRUE,TRUE
54,FALSE,TRUE
57,TRUE,FALSE
68,TRUE,TRUE
70,TRUE,FALSE
78,FALSE,FALSE
79,FALSE,FALSE
93,TRUE,FALSE
94,FALSE,TRUE
96,FALSE,FALSE
98,TRUE,FALSE
99,FALSE,FALSE
101,TRUE,TRUE
102,FALSE,TRUE
106,TRUE,TRUE
107,FALSE,FALSE
108,FALSE,FALSE
116,TRUE,TRUE
118,FALSE,FALSE
125,FALSE,TRUE
126,FALSE,TRUE
127,TRUE,TRUE
131,TRUE,FALSE
132,TRUE,TRUE
134,TRUE,fuzzy
155,TRUE,FALSE
156,FALSE,FALSE
157,FALSE,FALSE
161,FALSE,FALSE
162,FALSE,FALSE
167,TRUE,TRUE
168,TRUE,TRUE
169,FALSE,FALSE
175,FALSE,fuzzy
190,FALSE,FALSE
192,FALSE,FALSE
193,FALSE,TRUE
194,TRUE,TRUE
202,FALSE,FALSE
207,FALSE,FALSE
208,TRUE,TRUE
209,TRUE,FALSE
211,TRUE,TRUE
216,FALSE,TRUE
217,TRUE,fuzzy
218,FALSE,FALSE
221,FALSE,TRUE
222,FALSE,TRUE
225,FALSE,FALSE
226,FALSE,FALSE
230,FALSE,fuzzy
236,TRUE,TRUE
237,TRUE,TRUE
238,FALSE,TRUE
239,FALSE,TRUE
245,FALSE,FALSE
246,FALSE,FALSE
249,TRUE,TRUE
250,TRUE,TRUE
252,TRUE,TRUE
253,FALSE,FALSE
254,FALSE,TRUE
255,TRUE,TRUE
259,TRUE,TRUE
263,FALSE,FALSE
264,FALSE,TRUE
269,FALSE,fuzzy
270,TRUE,TRUE
274,TRUE,fuzzy
278,FALSE,fuzzy
283,TRUE,TRUE
284,TRUE,TRUE
289,FALSE,FALSE
296,TRUE,TRUE
297,TRUE,fuzzy
298,FALSE,TRUE
318,FALSE,FALSE
321,TRUE,TRUE
323,FALSE,FALSE
331,FALSE,FALSE
333,TRUE,FALSE
339,FALSE,FALSE
347,TRUE,TRUE
349,TRUE,fuzzy
350,TRUE,TRUE
354,TRUE,TRUE
355,FALSE,TRUE
360,FALSE,TRUE
365,FALSE,TRUE
