id,em_baseline,em_improved
20,0,FALSE
22,0,fuzzy
25,0,fuzzy
26,0,FALSE
27,0,FALSE
28,1,TRUE
36,1,TRUE
37,1,TRUE
38,1,TRUE
39,0,FALSE
45,0,TRUE
53,1,TRUE
54,1,TRUE
57,1,FALSE
68,1,TRUE
70,0,FALSE
78,0,FALSE
79,0,FALSE
93,1,FALSE
94,1,TRUE
96,0,FALSE
98,1,FALSE
99,0,FALSE
101,0,TRUE
102,1,TRUE
106,1,TRUE
107,0,FALSE
108,0,FALSE
116,0,TRUE
118,0,FALSE
125,1,TRUE
126,0,TRUE
127,1,TRUE
131,0,FALSE
132,1,TRUE
134,0,fuzzy
155,1,FALSE
156,0,FALSE
157,0,FALSE
161,0,FALSE
162,0,FALSE
167,0,TRUE
168,1,TRUE
169,0,FALSE
175,0,fuzzy
190,0,FALSE
192,0,FALSE
193,0,TRUE
194,1,TRUE
202,0,FALSE
207,0,FALSE
208,0,TRUE
209,0,FALSE
211,0,TRUE
216,0,TRUE
217,1,fuzzy
218,0,FALSE
221,0,TRUE
222,0,TRUE
225,0,FALSE
226,0,FALSE
230,0,fuzzy
236,1,TRUE
237,1,TRUE
238,1,TRUE
239,0,TRUE
245,0,FALSE
246,0,FALSE
249,1,TRUE
250,1,TRUE
252,0,TRUE
253,0,FALSE
254,0,TRUE
255,0,TRUE
259,0,TRUE
263,0,FALSE
264,0,TRUE
269,0,fuzzy
270,1,TRUE
274,0,fuzzy
278,0,fuzzy
283,0,TRUE
284,0,TRUE
289,0,FALSE
296,0,TRUE
297,1,fuzzy
298,1,TRUE
318,0,FALSE
321,0,TRUE
323,0,FALSE
331,0,FALSE
333,0,FALSE
339,0,FALSE
347,1,TRUE
349,0,fuzzy
350,0,TRUE
354,1,TRUE
355,0,TRUE
360,0,TRUE
365,0,TRUE
